 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25
106,24.116,23.456,26.249,29.654,28.965,23.412,25.019,25.599,27.609,19.777,28.894,18.762,23.762,19.166,40.014,24.728,24.561,22.430,25.626,21.670,27.383,27.965,23.074,23.368,25.215
107,24.125,23.437,26.180,29.625,28.904,23.360,25.002,25.548,27.587,19.792,28.865,18.741,23.720,19.144,39.965,24.727,24.535,22.375,25.640,21.656,27.347,27.946,23.050,23.365,25.196
108,24.133,23.453,26.233,29.642,28.932,23.388,25.043,25.549,27.638,19.756,28.891,18.748,23.720,19.155,40.006,24.706,24.544,22.381,25.582,21.670,27.349,27.988,23.075,23.402,25.203
109,24.136,23.483,26.183,29.660,28.927,23.378,25.067,25.521,27.685,19.839,28.881,18.763,23.705,19.144,40.042,24.734,24.593,22.387,25.589,21.674,27.313,27.965,23.069,23.369,25.163
110,24.140,23.471,26.167,29.649,29.001,23.397,25.059,25.566,27.742,19.857,28.892,18.745,23.715,19.178,40.019,24.732,24.615,22.374,25.597,21.687,27.330,27.976,23.081,23.374,25.179
111,24.143,23.487,26.199,29.649,28.974,23.353,25.075,25.595,27.763,19.823,28.874,18.752,23.743,19.192,40.053,24.802,24.660,22.397,25.618,21.722,27.338,27.961,23.054,23.366,25.180
112,24.103,23.447,26.163,29.609,28.975,23.338,25.020,25.567,27.745,19.833,28.810,18.764,23.684,19.166,40.011,24.719,24.632,22.369,25.574,21.676,27.281,27.965,23.059,23.347,25.140
113,24.161,23.494,26.172,29.639,29.007,23.373,25.065,25.612,27.807,19.888,28.832,18.736,23.715,19.175,40.049,24.702,24.637,22.401,25.538,21.653,27.275,28.051,23.104,23.343,25.213
114,24.114,23.425,26.172,29.638,28.945,23.339,25.044,25.534,27.818,19.881,28.851,18.742,23.710,19.143,40.056,24.715,24.556,22.387,25.583,21.658,27.247,27.993,23.090,23.342,25.163
115,24.086,23.489,26.152,29.649,28.947,23.402,25.043,25.566,27.786,19.887,28.846,18.754,23.683,19.173,40.085,24.771,24.567,22.381,25.578,21.668,27.242,27.982,23.093,23.355,25.216
116,24.135,23.465,26.152,29.635,28.989,23.362,25.061,25.570,27.785,19.835,28.849,18.780,23.686,19.189,40.042,24.734,24.583,22.381,25.577,21.648,27.258,27.969,23.087,23.355,25.194
117,24.127,23.488,26.157,29.688,28.936,23.356,25.053,25.546,27.771,19.767,28.836,18.745,23.681,19.147,40.002,24.754,24.581,22.346,25.577,21.705,27.312,27.956,23.065,23.323,25.165
118,24.110,23.477,26.202,29.661,28.944,23.346,25.013,25.543,27.767,19.778,28.860,18.750,23.704,19.158,40.048,24.704,24.597,22.363,25.568,21.707,27.303,27.936,23.077,23.337,25.188
119,24.152,23.487,26.225,29.715,29.029,23.371,25.047,25.617,27.824,19.807,28.918,18.761,23.736,19.178,40.104,24.775,24.617,22.417,25.684,21.722,27.328,27.972,23.103,23.374,25.167
