 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22
2364,20.024,13.925,17.113,13.506,14.077,21.272,24.227,25.336,24.823,22.448,33.319,33.433,29.752,24.434,25.200,24.991,23.901,21.860,33.476,23.375,25.039,21.488
2365,20.014,13.873,17.138,13.485,14.057,21.234,24.224,25.375,24.793,22.442,33.260,33.397,29.739,24.431,25.177,24.931,23.873,21.837,33.458,23.338,25.024,21.483
2366,20.036,13.905,17.099,13.506,14.073,21.270,24.269,25.373,24.824,22.449,33.268,33.402,29.730,24.425,25.187,24.993,23.913,21.889,33.494,23.370,25.032,21.484
2367,20.026,13.918,17.129,13.538,14.098,21.275,24.238,25.366,24.840,22.454,33.280,33.440,29.743,24.434,25.214,24.978,23.916,21.839,33.512,23.328,25.027,21.492
2368,20.041,13.902,17.121,13.506,14.095,21.304,24.255,25.346,24.810,22.424,33.288,33.443,29.713,24.431,25.187,24.972,23.938,21.901,33.498,23.378,25.050,21.487
2369,20.015,13.890,17.126,13.486,14.097,21.283,24.212,25.349,24.804,22.426,33.272,33.423,29.706,24.438,25.182,24.944,23.899,21.870,33.480,23.352,25.032,21.472
2370,20.029,13.891,17.152,13.439,14.070,21.270,24.277,25.361,24.805,22.476,33.322,33.433,29.745,24.454,25.183,24.993,23.896,21.861,33.503,23.327,25.042,21.488
2371,20.055,13.947,17.145,13.478,14.090,21.322,24.251,25.374,24.850,22.472,33.341,33.485,29.733,24.467,25.208,24.986,23.943,21.907,33.475,23.394,25.080,21.494
2372,20.068,13.926,17.109,13.531,14.102,21.299,24.285,25.415,24.873,22.502,33.323,33.489,29.801,24.474,25.214,25.024,23.973,21.963,33.480,23.411,25.056,21.515
2373,20.098,13.940,17.161,13.519,14.119,21.334,24.271,25.440,24.887,22.502,33.367,33.461,29.808,24.498,25.255,25.007,23.937,21.948,33.531,23.367,25.105,21.532
2374,20.064,13.918,17.163,13.522,14.124,21.328,24.297,25.384,24.852,22.503,33.371,33.494,29.760,24.462,25.233,24.972,23.925,21.916,33.463,23.401,25.070,21.520
2375,20.058,13.905,17.108,13.532,14.110,21.312,24.274,25.420,24.840,22.458,33.343,33.443,29.760,24.452,25.222,24.999,23.948,21.930,33.411,23.350,25.055,21.509
