Time(s),AnalogIn-1,AnalogIn-2,AnalogIn-3,AnalogIn-4,Sequence,TTL-1,TTL-2,TTL-3,TTL-4,AnalogOut-1,AnalogOut-2,AnalogOut-3,AnalogOut-4
0.666189,1.44566,7.16956,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.668877,1.44566,7.1662,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.671565,1.44566,7.16544,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.674254,1.44566,7.13767,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.676934,1.44566,7.125,2.49947,2.4987,1,0,0,0,0,0,0,0,0,
0.679622,1.44566,7.15186,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.68231,1.44566,7.17277,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.684999,1.44566,7.17475,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.687679,1.44566,7.15354,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.690367,1.44566,7.14347,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.693055,1.44566,7.12455,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.695744,1.44566,7.14789,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.698424,1.44566,7.15705,2.49947,2.4987,1,0,0,0,0,0,0,0,0,
0.701112,1.44566,7.1717,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.7038,1.44566,7.15415,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.706489,1.44566,7.14911,2.49947,2.4987,1,0,0,0,0,0,0,0,0,
0.709169,1.44566,7.13095,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.711857,1.44566,7.14087,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.714545,1.44566,7.16254,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.717234,1.44566,7.17902,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.719914,1.44566,7.16956,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.722602,1.44566,7.13523,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.72529,1.44566,7.12256,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.727979,1.44566,7.13279,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.730659,1.44566,7.15583,2.49947,2.4987,1,0,0,0,0,0,0,0,0,
0.733347,1.44566,7.17048,2.49947,2.4987,1,0,0,0,0,0,0,0,0,
0.736035,1.44566,7.1691,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.738724,1.44566,7.14225,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.741404,1.44566,7.14347,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.744092,1.44566,7.12851,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.74678,1.44566,7.1453,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.749469,1.44566,7.16712,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.752149,1.44566,7.17322,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.754837,1.44566,7.14393,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.757525,1.44566,7.13004,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.760214,1.44566,7.12928,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.762894,1.44566,7.15445,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.765582,1.44566,7.15979,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.76827,1.44566,7.17582,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.770959,1.44566,7.15842,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.773639,1.44566,7.13523,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.776327,1.44566,7.12439,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.779015,1.44566,7.14652,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.781704,1.44566,7.15567,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.784384,1.44566,7.16926,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.787072,1.44566,7.16788,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.78976,1.44566,7.13248,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.792449,1.44566,7.13385,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.795129,1.44566,7.13157,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.797817,1.44566,7.163,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.800505,1.44566,7.17154,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.803194,1.44566,7.16117,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.805874,1.44566,7.14652,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.808562,1.44566,7.13248,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.81125,1.44566,7.14423,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.813939,1.44566,7.14301,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.816619,1.44566,7.17185,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.819307,1.44566,7.17338,2.49947,2.4987,1,0,0,0,0,0,0,0,0,
0.821995,1.44566,7.14148,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.824684,1.44566,7.13187,2.49947,2.4987,1,0,0,0,0,0,0,0,0,
