# time, t1_s1_1_f1, t1_s1_2_f1, t1_s1_3_f1, t2_s1_1_f1, t2_s1_2_f1, t2_s1_3_f1, t3_s1_1_f1, t3_s1_2_f1, t3_s1_3_f1
4.55540,1.22138,1.16700,1.49904,1.89398,2.08409,1.12990,1.01719,1.14982,1.10701
4.56733,1.21931,1.16461,1.50621,1.89297,2.07401,1.13150,1.01825,1.14587,1.10564
4.57925,1.21402,1.16361,1.51083,1.88790,2.06390,1.13311,1.01978,1.13911,1.10363
4.59117,1.20667,1.16044,1.51651,1.88551,2.05591,1.13447,1.02153,1.13262,1.10178
4.60310,1.19782,1.15921,1.52171,1.88260,2.05100,1.13608,1.02436,1.12473,1.09963
4.61502,1.18716,1.15719,1.52479,1.88133,2.04665,1.13656,1.02694,1.11682,1.09752
4.62695,1.17764,1.15595,1.52928,1.87721,2.04556,1.13682,1.02916,1.10984,1.09534
4.63887,1.16817,1.15677,1.53194,1.87638,2.04714,1.13509,1.03212,1.10364,1.09313
4.65079,1.16093,1.15768,1.53331,1.87481,2.04974,1.13193,1.03397,1.10003,1.09083
4.66272,1.15551,1.15976,1.53451,1.87341,2.05378,1.12793,1.03648,1.09723,1.08847
4.67464,1.15299,1.16359,1.53483,1.87310,2.06052,1.12260,1.03758,1.09595,1.08649
4.68657,1.15472,1.16638,1.53518,1.87440,2.06563,1.11665,1.03908,1.09615,1.08540
4.69849,1.15822,1.17000,1.53679,1.87506,2.07222,1.10958,1.04007,1.09691,1.08558
4.71041,1.16591,1.17377,1.53825,1.87725,2.07326,1.10456,1.04118,1.09832,1.08742
4.72234,1.17407,1.17697,1.54033,1.88124,2.07725,1.09858,1.04152,1.10018,1.08986
4.73426,1.18318,1.17879,1.54425,1.88845,2.07551,1.09494,1.04119,1.10185,1.09503
4.74619,1.19396,1.18355,1.54799,1.89480,2.07414,1.09097,1.04038,1.10368,1.10084
4.75811,1.20314,1.18723,1.55334,1.90054,2.06782,1.08989,1.03909,1.10520,1.10768
4.77003,1.21008,1.19161,1.56035,1.91057,2.06398,1.09022,1.03750,1.10678,1.11581
4.78196,1.21556,1.19590,1.56665,1.91576,2.05766,1.09068,1.03624,1.10842,1.12401
4.79388,1.21852,1.20258,1.57377,1.92160,2.04917,1.09438,1.03427,1.11038,1.13173
4.80580,1.21891,1.20957,1.58128,1.92579,2.03967,1.09961,1.03377,1.11301,1.13931
4.81773,1.21940,1.21690,1.58791,1.92718,2.03445,1.10566,1.03384,1.11572,1.14533
4.82965,1.21756,1.22389,1.59342,1.92508,2.02738,1.11236,1.03439,1.11914,1.15072
4.84158,1.21272,1.22989,1.59989,1.92447,2.02462,1.12010,1.03602,1.12354,1.15479
