# time, t1_s1_1_f1, t1_s1_2_f1, t1_s1_3_f1, t2_s1_1_f1, t2_s1_2_f1, t2_s1_3_f1, t3_s1_1_f1, t3_s1_2_f1, t3_s1_3_f1
3.95921,418.44444,435.00000,441.70000,344.12500,373.87500,703.71429,1166.66667,1105.11111,1021.80000
3.97113,418.22222,435.00000,440.10000,344.00000,374.25000,701.14286,1165.55556,1104.55556,1020.00000
3.98306,417.88889,434.66667,438.70000,343.87500,374.62500,698.71429,1164.11111,1103.88889,1017.50000
3.99498,417.88889,434.44444,437.30000,343.62500,374.50000,696.71429,1162.88889,1103.00000,1015.30000
4.00690,418.22222,434.00000,436.10000,343.87500,374.75000,694.85714,1161.44444,1101.66667,1012.90000
4.01883,418.77778,433.66667,435.20000,343.87500,374.37500,693.14286,1160.00000,1100.66667,1011.00000
4.03075,419.77778,433.00000,434.10000,343.50000,374.12500,691.57143,1158.77778,1099.55556,1009.70000
4.04267,420.66667,432.44444,433.00000,343.12500,374.00000,690.00000,1157.55556,1098.55556,1008.80000
4.05460,422.00000,431.66667,432.30000,342.62500,373.37500,688.57143,1156.44444,1097.44444,1008.80000
4.06652,423.00000,430.88889,431.80000,341.87500,373.37500,686.71429,1155.55556,1096.44444,1009.50000
4.07845,424.11111,430.33333,431.40000,341.12500,373.00000,684.57143,1154.66667,1095.44444,1010.70000
4.09037,425.44444,429.44444,431.10000,340.25000,372.50000,682.42857,1153.77778,1094.44444,1012.50000
4.10229,426.44444,428.77778,430.80000,339.12500,372.50000,680.28571,1152.88889,1093.11111,1014.90000
4.11422,427.55556,428.55556,430.50000,338.25000,372.50000,678.00000,1152.11111,1091.33333,1017.00000
4.12614,428.44444,428.22222,430.80000,337.00000,372.50000,676.00000,1150.77778,1089.33333,1019.10000
4.13807,429.22222,428.22222,431.10000,336.00000,372.25000,674.14286,1149.33333,1087.11111,1020.60000
4.14999,429.88889,428.33333,431.20000,335.00000,372.50000,673.14286,1147.66667,1084.44444,1021.80000
4.16191,430.44444,428.66667,431.60000,334.12500,372.50000,672.42857,1145.77778,1081.88889,1022.30000
4.17384,430.77778,429.44444,432.20000,333.00000,372.62500,672.57143,1143.44444,1079.33333,1022.20000
4.18576,431.11111,430.11111,432.80000,332.25000,372.75000,673.00000,1140.66667,1077.00000,1021.50000
4.19769,431.22222,431.11111,433.50000,331.25000,373.00000,674.00000,1138.00000,1074.77778,1020.20000
4.20961,431.55556,432.33333,434.40000,330.37500,373.25000,675.28571,1135.44444,1072.44444,1018.20000
4.22153,431.55556,433.33333,435.20000,329.75000,373.12500,676.71429,1132.77778,1070.55556,1015.90000
4.23346,431.44444,434.33333,436.10000,329.12500,373.12500,678.28571,1130.33333,1068.88889,1013.40000
4.24538,431.22222,435.33333,437.00000,328.37500,372.87500,680.00000,1128.33333,1067.44444,1010.80000
4.25731,431.22222,436.55556,437.90000,327.87500,372.25000,681.57143,1126.55556,1066.00000,1008.20000
4.26923,430.55556,437.22222,438.70000,327.62500,371.37500,682.85714,1125.44444,1064.66667,1005.60000
4.28115,430.22222,437.77778,439.40000,327.12500,370.25000,684.14286,1124.44444,1063.33333,1003.00000
4.29308,429.88889,438.00000,440.00000,327.00000,369.12500,685.42857,1124.00000,1062.00000,1000.60000
4.30500,429.44444,438.11111,440.10000,327.12500,367.75000,686.42857,1123.88889,1060.88889,998.60000
4.31692,429.22222,437.88889,440.30000,327.37500,366.25000,687.14286,1123.66667,1059.77778,996.00000
4.32885,429.00000,437.22222,440.10000,327.50000,364.87500,687.42857,1123.66667,1059.22222,993.70000
4.34077,428.66667,436.44444,439.60000,327.75000,363.50000,687.57143,1123.44444,1058.77778,991.50000
4.35270,428.55556,435.66667,439.20000,328.00000,362.37500,687.71429,1123.33333,1058.77778,989.40000
