# time, t1_s1_1_f1, t1_s1_2_f1, t1_s1_3_f1, t2_s1_1_f1, t2_s1_2_f1, t2_s1_3_f1, t3_s1_1_f1, t3_s1_2_f1, t3_s1_3_f1
4.03075,460.11111,490.11111,679.10000,657.25000,773.12500,761.85714,1170.44444,1199.33333,1086.20000
4.04267,458.11111,492.33333,678.70000,656.37500,776.37500,756.71429,1171.22222,1202.55556,1087.70000
4.05460,456.11111,494.77778,678.10000,655.87500,780.00000,751.71429,1172.11111,1205.44444,1090.00000
4.06652,454.55556,497.88889,677.20000,655.87500,783.25000,746.28571,1173.00000,1208.55556,1092.60000
4.07845,453.88889,501.33333,676.50000,656.37500,785.50000,741.28571,1174.00000,1211.00000,1095.50000
4.09037,453.44444,504.55556,676.10000,657.12500,787.50000,736.14286,1174.22222,1212.55556,1098.70000
4.10229,453.77778,508.11111,675.90000,658.12500,788.25000,731.71429,1173.77778,1213.11111,1101.30000
4.11422,454.88889,511.22222,676.00000,658.87500,787.87500,727.71429,1172.77778,1212.33333,1103.60000
4.12614,456.22222,513.77778,676.70000,659.62500,786.25000,724.00000,1171.22222,1210.66667,1105.50000
4.13807,458.22222,515.77778,677.80000,659.75000,783.25000,721.28571,1168.88889,1207.66667,1107.00000
4.14999,460.44444,517.11111,679.60000,659.50000,779.37500,718.71429,1166.33333,1204.44444,1108.00000
4.16191,463.00000,518.00000,681.60000,658.00000,774.37500,717.14286,1164.00000,1200.11111,1108.60000
4.17384,465.55556,517.88889,683.80000,656.25000,769.00000,715.71429,1161.33333,1195.66667,1108.90000
4.18576,467.77778,517.22222,686.10000,653.50000,763.25000,715.28571,1159.00000,1190.88889,1109.20000
4.19769,469.88889,516.00000,688.20000,650.25000,757.75000,715.42857,1157.22222,1186.44444,1109.50000
4.20961,471.66667,514.33333,689.90000,646.87500,752.62500,716.42857,1155.88889,1181.55556,1109.60000
4.22153,473.55556,512.11111,691.10000,642.87500,748.25000,718.28571,1154.44444,1176.77778,1110.00000
4.23346,474.66667,509.66667,691.60000,638.75000,744.87500,720.85714,1153.22222,1172.11111,1110.30000
4.24538,476.00000,507.33333,691.80000,635.00000,742.75000,724.00000,1151.55556,1167.11111,1110.70000
4.25731,476.77778,504.88889,690.90000,631.37500,741.12500,727.57143,1150.00000,1162.11111,1110.70000
4.26923,477.88889,502.66667,689.80000,628.37500,741.50000,731.57143,1148.22222,1157.11111,1110.80000
4.28115,478.66667,500.77778,688.40000,625.50000,742.25000,735.42857,1146.44444,1152.22222,1109.80000
