time, dGoR #1, dGoR #2, dGoR #3, dGoR #4, dGoR #5, dGoR #6, dGoR #7, dGoR #8, dGoR #9, dGoR #10, dGoR #11, dGoR #12, dGoR #13, dGoR #14, dGoR #15, average
3.10069, 0.44852, 0.39152, 0.43024, 0.40337, 0.36947, 0.39739, 0.32601, 0.35952, 0.38397, 0.35623, 0.34889, 0.40930, 0.33351, 0.31550, 0.29783, 0.37142, 
3.11261, 0.34634, 0.40040, 0.41688, 0.42776, 0.39612, 0.36837, 0.38020, 0.29955, 0.33823, 0.37296, 0.32973, 0.37217, 0.38833, 0.33157, 0.40377, 0.37149, 
3.12453, 0.42055, 0.41535, 0.46349, 0.33375, 0.40619, 0.39403, 0.38418, 0.38439, 0.36160, 0.32731, 0.37795, 0.44110, 0.31470, 0.33638, 0.33909, 0.38000, 
3.13646, 0.44686, 0.37571, 0.38382, 0.37766, 0.40696, 0.35779, 0.36586, 0.36713, 0.35650, 0.38797, 0.33758, 0.36559, 0.40237, 0.30040, 0.39413, 0.37509, 
3.14838, 0.37555, 0.33044, 0.45340, 0.37753, 0.41136, 0.35185, 0.42922, 0.35037, 0.33328, 0.42000, 0.34498, 0.36260, 0.36581, 0.34348, 0.35096, 0.37339, 
3.16031, 0.40306, 0.37396, 0.38585, 0.43772, 0.38449, 0.42238, 0.40675, 0.37009, 0.36820, 0.36099, 0.33220, 0.43694, 0.40932, 0.38799, 0.33584, 0.38772, 
3.17223, 0.44689, 0.36355, 0.40013, 0.38116, 0.41119, 0.36882, 0.34184, 0.33009, 0.44031, 0.36604, 0.30827, 0.34319, 0.35501, 0.38717, 0.34502, 0.37258, 
3.18415, 0.39227, 0.39693, 0.36469, 0.39243, 0.47561, 0.36081, 0.36549, 0.41625, 0.33035, 0.33018, 0.43121, 0.34315, 0.36865, 0.35731, 0.40855, 0.38226, 
3.19608, 0.38239, 0.41182, 0.33959, 0.35271, 0.37000, 0.41939, 0.40536, 0.36990, 0.35581, 0.45806, 0.29372, 0.38151, 0.34137, 0.29910, 0.36420, 0.36966, 
3.20800, 0.43141, 0.43214, 0.35972, 0.38195, 0.43319, 0.41419, 0.36063, 0.30161, 0.39814, 0.33447, 0.33620, 0.34638, 0.33061, 0.37875, 0.32403, 0.37090, 
